DSOURCE       HRSTR    HRFMT
HWRF          f        3
HWRF15        f        3
HWRF16        f        3
HWRF17        f        3
HWRF18        f        3
HWRF19        f        3
NMMB          f        3
GFS           f        3
FVGFS         f        3
HFVGFS        f        3
fvGFS_ATL     f        3
GEFS          f        2
HAFS          f        3
HAFS_HYCOM    f        3
HAFS_MOM6     f        3
HAFSV0.3      f        3
HAFSV0.3_HYCOM f        3
HAFSv1a       f        3
HAFSv1a_HYCOM f        3
HAFSv1b       f        3
HAFSv1b_HYCOM f        3
ECMWF         f        3
HMON          f        3
