# ============================================================================
# GPLOT Model Info Table (Python format)
#
# Column 1: Model ID (ATCF TECH code)
# Column 2: Display label (shown in plot legends)
# Column 3: matplotlib marker string
#           ('o','s','^','v','<','>','*','D','d','p','h','8','P','X','+','x','.')
# Column 4: matplotlib color value. May be any of:
#             - A CSS4/X11 named color (e.g. 'blue', 'darkgoldenrod')
#             - An xkcd color with the 'xkcd:' prefix (e.g. 'xkcd:deep pink')
#             - A hex value (e.g. '#8B0A50')
#             - A grayscale float string in [0,1] (e.g. '0.25')
# Column 5: Long name (optional)
#
# Fields are separated by commas.  Lines starting with '#' are comments.
# This file supersedes ModelInfo.dat (which uses NCL marker indices and
# NCL-only X11 color names).  Python modules prefer this file when present.
# ============================================================================

# OPERATIONAL MODELS #
HFSA,              HFSA: HAFS V2.1A,  ^,                  darkgoldenrod,   Hurricane Analysis and Forecast System V2.1A
HFAI,            HFAI: Interp. HFSA,  ^,                  darkgoldenrod,   HAFS V2.1A (Early)
HFSB,              HFSB: HAFS V2.1B,  v,                      orangered,   Hurricane Analysis and Forecast System V2.1B
HFBI,            HFBI: Interp. HFSB,  v,                      orangered,   HAFS V2.1B (Early)
HFSB_MULTISTORM,   HFSB_MULTISTORM: HAFS_M V0.1B,  v,       orangered,     Hurricane Analysis and Forecast System - Multistorm V2.1B
HWRF,              HWRF: Oper. HWRF,  <,                         purple,   Operational HWRF
HWFI,            HWFI: Interp. HWRF,  <,                         purple,   Operational HWRF (Early)
AVNO,               AVNO: Oper. GFS,  D,                           blue,   Global Forecast System
AVNI,             AVNI: Interp. GFS,  D,                           blue,   Global Forecast System (Early)
GFSO,               GFSO: Oper. GFS,  D,                           blue,   Global Forecast System
GFSI,             GFSI: Interp. GFS,  D,                           blue,   Global Forecast System (Early)
HMON,              HMON: Oper. HMON,  x,                          green,   Operational HMON
HMNI,            HMNI: Interp. HMON,  x,                          green,   Operational HMON (Early)
NVGM,            NVGM: Oper. NAVGEM,  P,                          brown,   Operational NAVGEM
NVGI,            NVGI: Interp. NVGM,  P,                          brown,   Operational NAVGEM (Early)
CTCX,               CTCX: COAMPS-TC,  p,                           cyan,   COAMPS-TC w/ GFS
CTCI,            CTCI: Interp. CTCX,  p,                           cyan,   Early COAMPS-TC
EGRR,                   EGRR: UKMet,  .,                 xkcd:violet red,   UK Met Office
EGRI,           EGRI: Interp. UKMet,  .,                 xkcd:violet red,   Early UK Met Office
CMC,            CMC: Oper. Canadian,  .,                           plum,   CMC Global Environmental Multiscale Model
CMCI,             CMCI: Interp. CMC,  .,                           plum,   CMC Global Environmental Multiscale Model (Early)
ECMO,               ECMO: ECMWF IFS,  ^,                          coral,   ECMWF Integrated Forecast System
ECMI,            ECMI: Interp. ECMO,  ^,                          coral,   ECMWF Integrated Forecast System (Early)
EMX,                 EMX: ECMWF IFS,  ^,                          coral,   ECMWF Integrated Forecast System
OFCL,            OFCL: NHC Official,  h,                            red,   NHC Official Forecast
OFCI,            OFCI: Interp. OFCL,  h,                            red,   NHC Official Forecast (Early)
DSHP,             DSHP: Decay SHIPS,  D,                      darkgreen,   Decay SHIPS
LGEM,              LGEM: SHIPS LGEM,  x,                      cadetblue,   Logistic Growth Equation Model (LGEM)
IVCN,           IVCN: NHC Consensus,  >,                  darkslategray,   NHC Intensity Consensus
TVCN,           TVCN: NHC Consensus,  >,                  darkslategray,   NHC Track Consensus
OCD5,         OCD5: Combined CLIPER,  x,                  darkslategray,   Combined Track & Intensity CLIPER
CLP5,            CLP5: Track CLIPER,  x,                  darkslategray,   Track CLIPER
SHF5,        SHF5: Intensity CLIPER,  x,                  darkslategray,   Intensity CLIPER


# EXPERIMENTAL MODELS #
THP8,           THP8: GFSv17p8-THmp,  >,               xkcd:dark mustard,   Global Forecast System (v17p8) w/ Thomp. MP
TH8I,             TH8I: Interp THP8,  >,               xkcd:dark mustard,   Global Forecast System (v17p8) w/ Thomp. MP
C3P8,           C3P8: GFSv17p8-C3cu,  P,                       seagreen,   Global Forecast System (v17p8) w/ C3 Cu
C38I,             C38I: Interp C3P8,  P,                       seagreen,   Global Forecast System (v17p8) w/ C3 Cu
MYP8,           MYP8: GFSv17p8-MYNN,  p,                 xkcd:dark salmon,  Global Forecast System (v17p8) w/ MYNN PBL
MY8I,             MY8I: Interp MYP8,  p,                 xkcd:dark salmon,  Global Forecast System (v17p8) w/ MYNN PBL
HF3A,              HF3A: HAFS V0.3A,  <,                 darkolivegreen,   Hurricane Analysis and Forecast System V0.3A
HF3S,              HF3S: HAFS V0.3S,  v,                      orangered,   Hurricane Analysis and Forecast System V0.3S
HFSI,          HFSI: Interp. HAFS-S,  v,                      orangered,   HAFS V0.3S (Early)
HFXA,             HFXA: HAFSV2.1.1A,  ^,                         orange,   Experimental HAFS V2.1.1A
HFXB,             HFXB: HAFSV2.1.1B,  v,                        magenta,   Experimental HAFS V2.1.1B
HXAI,       HXAI: Early HAFSV2.1.1A,  ^,                         orange,   Experimental HAFS V2.1.1A (Early)
HXBI,       HXBI: Early HAFSV2.1.1B,  v,                        magenta,   Experimental HAFS V2.1.1B (Early)
HFXM,               HFXM: HAFSV2.2M,  v,                 xkcd:dark magenta, Experimental HAFS V2.2M
HXMI,         HXMI: Early HAFSV2.2M,  v,                 xkcd:dark magenta, Experimental HAFS V2.2M (Early)
HFXC,             HFXC: HAFSV2.1.1C,  s,                      lightpink,   Experimental HAFS V2.1.1C
HXCI,       HXCI: Early HAFSV2.1.1C,  s,                      lightpink,   Experimental HAFS V2.1.1C (Early)
HFXO,             HFXO: HAFSV2.1.1O,  x,                           navy,   Experimental HAFS V2.1.1O
HXOI,       HXOI: Early HAFSV2.1.1O,  x,                           navy,   Experimental HAFS V2.1.1O (Early)
HFXJ,             HFXJ: HAFSV2.1.1J,  *,                      darkgreen,   Experimental HAFS V2.1.1J
HXJI,       HXJI: Early HAFSV2.1.1J,  *,                      darkgreen,   Experimental HAFS V2.1.1J (Early)
T21D,                T21D: T-SHiELD,  ^,                        magenta,   Tropical System for High-res. prediction on Earth-to-Local Domains
T21I,            T21I: Interp. T21D,  ^,                        magenta,   T-SHiELD (Early)
F206,                  F206: SHiELD,  D,               xkcd:dark mustard,   System for High-res. prediction on Earth-to-Local Domains
F20I,            F20I: Interp. F206,  D,               xkcd:dark mustard,   SHiELD (Early)
XXXX,       HFSA: HAFS V0.3A CYGNSS,  <,                 darkolivegreen,   Hurricane Analysis and Forecast System V0.3A CYGNSS DA
HMOM,         HMOM: HAFS V1.0A/MOM6,  <,                 darkolivegreen,   Hurricane Analysis and Forecast System V1.0A w/ MOM6
HMOI,            HMOI: Interp. HMOM,  <,                 darkolivegreen,   HAFS V1.0A w/ MOM6 (Early)


# AI Models #
GDMN,          GDMN: Deep Mind Mean,  x,                      darkgreen,   Google Deep Mind Ensemble Mean
GDMI,             GDMI: Interp GDMN,  x,                      darkgreen,   Google Deep Mind Ensemble Mean
EAIO,                    EAIO: AIFS,  s,                           navy,   ECMWF AIFS Deterministic
EAII,             EAII: Interp EAIO,  s,                           navy,   ECMWF AIFS Deterministic


# HAFS ENSEMBLE #
HFMN,          HFMN: HAFSV0.2E(avg),  X,                    xkcd:sienna,   Hurricane Analysis and Forecast System V0.2E (avg)
HFMI,            HFMI: Interp. HFMN,  X,                    xkcd:sienna,   Hurricane Analysis and Forecast System V0.2E (avg)
HF00,           HF00: HAFSV0.2E(00),  .,                        hotpink,   Hurricane Analysis and Forecast System V0.2E (00)
HF01,           HF01: HAFSV0.2E(01),  .,                  xkcd:dark pink,   Hurricane Analysis and Forecast System V0.2E (01)
HF02,           HF02: HAFSV0.2E(02),  .,                            red,   Hurricane Analysis and Forecast System V0.2E (02)
HF03,           HF03: HAFSV0.2E(03),  .,                         tomato,   Hurricane Analysis and Forecast System V0.2E (03)
HF04,           HF04: HAFSV0.2E(04),  .,                      orangered,   Hurricane Analysis and Forecast System V0.2E (04)
